key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2024-04-23 04:40:00.325000,21.18,2024-04-23 04:40:00 UTC,-73.9885524618622,40.73041678135934,-73.9902796772799,40.78279347508359,3
2024-08-12 23:55:45.639001,13.05,2024-08-12 23:55:45 UTC,-73.96147444196295,40.7205832004431,-73.9924187970054,40.72840592381697,2
2024-09-07 00:12:44.507002,34.44,2024-09-07 00:12:44 UTC,-73.84401777655074,40.76031569822221,-73.97896310623041,40.751771834151434,1
2024-08-31 01:13:05.301003,60.39,2024-08-31 01:13:05 UTC,-73.96334316218618,40.72687515619098,-74.20090736580536,40.68202091902105,1
2024-04-05 18:14:55.781004,23.77,2024-04-05 18:14:55 UTC,-73.99167536675334,40.75930871381959,-73.97504310192026,40.70735852439643,5
2024-03-07 18:54:58.252005,23.36,2024-03-07 18:54:58 UTC,-73.96388866610236,40.7666583220432,-74.0313421218337,40.73838276874831,1
2024-10-15 09:45:02.922006,11.97,2024-10-15 09:45:02 UTC,-74.00590227350291,40.75906995594045,-73.98664494690571,40.758756305503894,5
2024-10-03 21:50:21.446007,15.31,2024-10-03 21:50:21 UTC,-73.9376216443256,40.7205535865562,-73.9581040472652,40.73863798620593,1
2024-04-05 11:11:34.992008,33.17,2024-04-05 11:11:34 UTC,-73.95979647632645,40.76097900884925,-74.00477229076988,40.677581778680256,2
2024-07-28 11:54:19.739009,68.91,2024-07-28 11:54:19 UTC,-73.78082422322368,40.62588389554871,-73.93794172478482,40.73271498586971,1
2024-03-22 20:09:17.9750010,58.94,2024-03-22 20:09:17 UTC,-73.96499464635968,40.75249482546355,-74.17643681376725,40.6952019987876,1
2024-11-29 23:01:12.1120011,55.28,2024-11-29 23:01:12 UTC,-74.18254998033035,40.71003179946634,-73.93594514287444,40.71641618832194,1
2024-07-25 10:38:29.2920012,25.35,2024-07-25 10:38:29 UTC,-74.01577154076577,40.707619293541164,-73.97619931975434,40.76520960605842,1
2024-06-05 05:44:33.9770013,25.42,2024-06-05 05:44:33 UTC,-73.967896629766,40.73518898207453,-74.02704285022438,40.764118745225595,1
2024-09-05 19:41:11.5680014,14.71,2024-09-05 19:41:11 UTC,-73.98703437272451,40.75995102411512,-74.01659743577207,40.75538428226073,1
2024-09-25 06:37:17.4410015,13.63,2024-09-25 06:37:17 UTC,-73.97466794914062,40.77710672799667,-74.00519075627784,40.766528876844426,1
2024-08-09 13:01:50.5910016,16.63,2024-08-09 13:01:50 UTC,-73.94442404135192,40.76412009312322,-73.98688612688731,40.75484324594401,1
2024-08-18 17:27:28.3290017,15.38,2024-08-18 17:27:28 UTC,-74.02200057330313,40.726302156922074,-74.00493494541413,40.75810586946108,1
2024-05-03 15:43:24.1560018,31.36,2024-05-03 15:43:24 UTC,-74.01158083108712,40.68467201215162,-73.9535975244581,40.74567577829711,5
2024-09-16 11:44:11.5150019,16.09,2024-09-16 11:44:11 UTC,-73.9489465789176,40.75458675059556,-73.97439921706362,40.73541437687398,1
2024-05-21 07:07:23.2470020,12.35,2024-05-21 07:07:23 UTC,-73.9644628288446,40.76077606404546,-73.98822335948496,40.770574312279905,1
2024-09-19 13:29:15.7540021,17.24,2024-09-19 13:29:15 UTC,-73.99809608939569,40.76692458905189,-74.00596070570417,40.715943070538,1
2024-05-03 08:21:01.3460022,16.45,2024-05-03 08:21:01 UTC,-73.9943903186637,40.73996323135495,-73.95558968577085,40.75113304273049,1
2024-08-10 11:05:10.4620023,14.98,2024-08-10 11:05:10 UTC,-73.98670545152186,40.73970146784531,-74.01610459680828,40.75536635136952,2
2024-05-30 00:54:31.5610024,71.67,2024-05-30 00:54:31 UTC,-74.02229146468645,40.70695397241459,-73.75979392243077,40.619024232710224,2
2024-08-30 08:23:11.2280025,27.57,2024-08-30 08:23:11 UTC,-73.86972773384919,40.763073708677986,-73.97048611598741,40.75190449280745,1
2024-04-23 09:02:31.8160026,39.71,2024-04-23 09:02:31 UTC,-73.98408817887045,40.761891378029105,-73.81735732958583,40.753640263956335,1
2024-08-27 20:39:45.3340027,27.02,2024-08-27 20:39:45 UTC,-74.00397372042305,40.67641275050737,-73.93412096383108,40.70713356700027,1
2024-01-29 18:33:46.7860028,26.24,2024-01-29 18:33:46 UTC,-73.99163463042808,40.783636097336235,-73.99194107092048,40.71123995460458,1
2024-12-28 18:10:12.1030029,16.51,2024-12-28 18:10:12 UTC,-73.98677501033545,40.716222018270656,-73.98798411225728,40.75491586357992,1
2024-03-24 22:11:00.3440030,79.59,2024-03-24 22:11:00 UTC,-74.01350259593121,40.77957082949413,-73.76418022460211,40.64671539126859,1
2024-02-15 07:32:58.7560031,16.38,2024-02-15 07:32:58 UTC,-73.9828898862875,40.74928632257815,-74.00315543110877,40.773707631485564,1
2024-02-23 03:34:23.6080032,23.73,2024-02-23 03:34:23 UTC,-73.96434206839079,40.736256934738876,-74.04365700965624,40.71381358238922,1
2024-05-24 09:35:18.5130033,19.89,2024-05-24 09:35:18 UTC,-74.02564542636823,40.72754989387025,-74.00557220756343,40.68435618777671,1
2024-06-26 12:38:37.2390034,58.62,2024-06-26 12:38:37 UTC,-74.16579829184835,40.70278421359233,-73.97803073883264,40.79312674788511,1
2024-02-15 07:40:31.9000035,36.34,2024-02-15 07:40:31 UTC,-74.00399825833169,40.71937753558567,-73.90025200972687,40.78286550690405,1
2024-01-02 16:07:50.3920036,24.39,2024-01-02 16:07:50 UTC,-73.96275497923351,40.769586837858434,-74.0364548182805,40.74184172396322,1
2024-11-01 14:44:03.3370037,17.6,2024-11-01 14:44:03 UTC,-73.98264434587819,40.74512342660115,-73.96577650266515,40.77470648319503,1
2024-11-20 17:29:46.1430038,73.59,2024-11-20 17:29:46 UTC,-73.77081532597211,40.64437273716761,-73.96241807175495,40.75201741310097,3
2024-07-20 21:30:03.5680039,23.29,2024-07-20 21:30:03 UTC,-74.0078331698224,40.680329348984266,-74.00047302699369,40.74752012426663,1
2024-02-06 13:04:13.6840040,69.75,2024-02-06 13:04:13 UTC,-73.96159002748509,40.759189425049655,-73.8068342693405,40.65186297589114,1
2024-12-17 05:56:24.6490041,28.28,2024-12-17 05:56:24 UTC,-74.00274661140149,40.71207152590275,-73.96048753339291,40.77346842795113,1
2024-11-28 12:40:53.6270042,15.07,2024-11-28 12:40:53 UTC,-73.99819762685205,40.75237298083588,-73.96608029265944,40.76707986491047,5
2024-05-20 00:54:35.2820043,33.39,2024-05-20 00:54:35 UTC,-73.95522312905821,40.68646474891451,-73.98199370997209,40.77641195976407,1
2024-06-05 20:53:00.9740044,27.61,2024-06-05 20:53:00 UTC,-73.98383985877338,40.74379224783126,-73.92458792962023,40.78312709569786,1
2024-01-16 17:19:46.4270045,72.99,2024-01-16 17:19:46 UTC,-73.77517680168265,40.669909730821836,-73.96868956771844,40.76879820546318,1
2024-01-04 08:46:42.5980046,52.44,2024-01-04 08:46:42 UTC,-73.9847558548226,40.75856528828055,-74.1750536589353,40.70118685652353,1
2024-08-29 13:34:16.9790047,15.52,2024-08-29 13:34:16 UTC,-74.02118259323983,40.69972986021648,-73.99198687486816,40.72824284086411,1
2024-07-22 10:01:59.9910048,25.55,2024-07-22 10:01:59 UTC,-73.97291310017053,40.76361242510427,-74.01511357544695,40.71640341432663,2
2024-04-04 17:02:51.3480049,13.37,2024-04-04 17:02:51 UTC,-73.9844957866849,40.76376923094269,-74.01363294169184,40.7563183598891,1
2024-04-11 06:58:56.5200050,87.82,2024-04-11 06:58:56 UTC,-74.15534879478916,40.666261739491596,-73.79246920171902,40.60392234941919,2
2024-08-20 02:42:07.4660051,18.54,2024-08-20 02:42:07 UTC,-73.88146920582439,40.754441465006636,-73.83891125607963,40.77906089906225,1
2024-03-02 22:01:48.8070052,28.65,2024-03-02 22:01:48 UTC,-74.03565536925491,40.71395719612519,-73.97304981267513,40.752036159201765,2
2024-10-06 15:40:45.1970053,36.63,2024-10-06 15:40:45 UTC,-73.96354967437233,40.706330444145166,-73.86140054062348,40.76324001220218,1
2024-09-28 16:34:18.2610054,20.6,2024-09-28 16:34:18 UTC,-74.0057757536605,40.792909384168865,-74.01304909863153,40.74209114626531,1
2024-08-09 18:23:43.3140055,22.8,2024-08-09 18:23:43 UTC,-73.99251790446627,40.72605981947552,-73.9557834958387,40.68563804369096,2
2024-12-21 07:56:16.5730056,16.34,2024-12-21 07:56:16 UTC,-74.01563016271028,40.75024639161146,-73.96123685995188,40.763343564447496,1
2024-07-05 13:05:53.4290057,17.1,2024-07-05 13:05:53 UTC,-74.00329067912345,40.75884780395135,-73.98307368405621,40.7222535302505,1
2024-05-04 07:43:31.1260058,41.61,2024-05-04 07:43:31 UTC,-73.99202202024895,40.727627278893465,-73.839968895364,40.76290642253684,1
2024-05-04 10:10:09.4300059,26.08,2024-05-04 10:10:09 UTC,-73.9494088891143,40.739138652351215,-74.01117275904436,40.78498792924657,1
2024-04-28 22:59:08.2500060,19.53,2024-04-28 22:59:08 UTC,-73.99651202208287,40.74147270965037,-73.95879693490072,40.71583810267798,1
2024-05-31 10:13:01.3860061,7.99,2024-05-31 10:13:01 UTC,-73.97697671030336,40.73739180815503,-73.9892838805867,40.74057206774412,1
2024-02-17 08:41:45.4640062,15.76,2024-02-17 08:41:45 UTC,-73.98256042161476,40.72051724656146,-74.02174701815612,40.70430279525209,1
2024-02-07 14:41:11.3770063,32.09,2024-02-07 14:41:11 UTC,-73.95048691004203,40.76260119730529,-74.02352889399914,40.699289179097214,1
2024-12-29 02:56:16.7740064,25.48,2024-12-29 02:56:16 UTC,-73.96319969446901,40.734541956489274,-74.03550594905259,40.716476337971464,1
2024-04-01 19:36:58.5980065,15.06,2024-04-01 19:36:58 UTC,-73.95680967487061,40.74699741900598,-73.96568650379864,40.777129666987456,1
2024-11-10 20:43:19.3900066,18.54,2024-11-10 20:43:19 UTC,-73.96994247294067,40.73910857472526,-74.00862003352566,40.75281371454634,1
2024-01-06 10:42:09.4880067,22.2,2024-01-06 10:42:09 UTC,-74.01476421348512,40.69919898865391,-74.02213277079552,40.7590960215944,1
2024-08-20 23:47:51.3860068,31.22,2024-08-20 23:47:51 UTC,-73.9790255421223,40.76100195625927,-74.04258926229481,40.70774916497385,3
